Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC28220.1,545,754,641,1182,936,823,236,273,564,679,906,187
EIC28221.1,106,117,125,623,523,73,64,99,147,177,242,106
EIC28222.1,590,753,737,1334,1003,684,232,297,515,792,877,235
EIC28223.1,2606,3212,3352,3995,3070,2475,616,846,1716,3483,3825,602
EIC28224.1,1001,1372,1366,1410,1136,1060,381,490,676,1295,1383,175
EIC28225.1,994,1208,1303,1463,1154,1112,419,466,873,1407,1630,262
EIC28226.1,1337,1782,1710,2422,2000,1598,795,870,1452,1726,2016,441
EIC28227.1,834,1251,1209,1196,961,743,272,293,465,1099,868,186
EIC28228.1,3109,4464,3855,4170,3258,3825,1135,1421,2555,4204,4280,729
EIC28229.1,214,300,261,288,270,308,81,109,212,247,289,58
EIC28230.1,4205,5100,5019,5720,4473,3907,1672,2219,3845,5671,6345,1483
EIC28231.1,1075,1165,1286,1577,1330,1004,470,600,1050,1621,1734,391
EIC28232.1,114,110,163,208,149,79,49,40,110,174,160,35
EIC28233.1,1611,1958,2202,2418,1926,1675,982,1260,2035,2458,2655,651
EIC28234.1,12520,11925,19127,17076,12866,6408,5926,9087,12327,19343,24057,3083
EIC28235.1,8490,8039,12019,10203,7925,4988,6477,7306,8587,12660,14513,2288
EIC28236.1,32,35,35,89,60,25,12,16,41,37,51,10
EIC28237.1,388,435,496,1038,853,406,115,139,346,474,575,119
EIC28238.1,562,554,626,1394,1305,450,187,260,569,641,752,191
EIC28239.1,44,54,37,44,37,38,20,43,40,30,28,5
EIC28240.1,201,321,271,304,259,308,139,210,247,283,341,84
EIC28241.1,114,91,127,685,596,74,82,82,157,152,219,98
EIC28242.1,82,67,79,402,312,64,35,24,72,87,88,45
EIC28243.1,15,9,13,45,36,12,9,9,14,11,12,7
EIC28244.1,22,21,24,102,82,30,5,12,28,24,24,9
EIC28245.1,83,81,86,331,297,56,27,42,105,108,94,39
EIC28246.1,167,116,162,642,566,132,74,71,205,193,230,114
EIC28247.1,315,391,348,486,397,471,155,231,331,411,465,111
EIC28248.1,1245,1751,1511,1636,1239,1836,548,694,1054,1558,1940,301
EIC28249.1,2355,3754,2420,2795,2114,3548,676,917,1803,2415,2659,612
EIC28250.1,553,921,598,768,583,880,143,218,501,683,635,126
EIC28251.1,645,923,755,1318,989,877,233,299,537,814,836,189
EIC28252.1,593,675,670,2755,2263,563,347,376,658,716,926,333
EIC28253.1,10924,10004,15435,14239,12096,6135,4500,6355,9653,19199,21433,2875
EIC28254.1,3392,2837,4826,4843,3840,1584,1621,1956,3107,6001,6654,993
EIC28255.1,12742,14609,18590,16174,13289,10010,6870,10253,13308,21829,23308,3394
EIC28256.1,568,519,852,750,563,279,281,290,438,920,1042,131
EIC28257.1,4207,3724,6653,5888,4662,1923,1813,2305,3388,6876,7819,1073
EIC28258.1,3458,3240,4962,4253,3647,2121,1728,2352,3568,5067,5591,1033
EIC28259.1,2120,2226,3193,3195,2678,2002,912,1393,2582,3575,4268,882
EIC28260.1,3315,3394,4929,5072,3705,2340,1525,2050,3036,5410,6481,1069
EIC28261.1,348,424,536,515,394,286,293,377,597,520,636,154
EIC28262.1,242,244,338,339,271,207,250,300,363,388,442,103
EIC28263.1,320,353,419,455,368,281,290,389,430,513,519,127
EIC28264.1,558,658,729,736,575,509,564,733,953,762,800,301
EIC28265.1,452,506,611,661,518,401,407,584,712,676,670,251
EIC28266.1,2212,2430,2885,3182,2493,2103,1166,1649,2234,3211,3637,649
EIC28267.1,1406,1518,1747,1682,1513,1325,470,628,1095,2122,2132,327
EIC28268.1,2247,2373,2991,3069,2506,1549,809,1253,1873,3176,3437,605
EIC28269.1,241,229,281,310,319,160,69,120,237,414,403,97
EIC28270.1,66,97,70,127,115,36,33,56,54,95,153,75
EIC28271.1,112,114,169,459,378,89,61,66,108,285,299,278
EIC28272.1,148,161,173,536,373,115,93,125,173,281,276,211
EIC28273.1,50,30,30,91,87,19,20,19,31,43,54,35
EIC28274.1,246,179,192,430,431,155,75,88,182,263,285,142
EIC28275.1,40,37,49,65,70,16,13,14,23,44,44,20
EIC28276.1,1,1,7,11,8,2,2,1,3,5,5,3
EIC28277.1,12,6,8,11,9,6,3,3,8,5,8,6
EIC28278.1,51,40,57,107,85,29,14,17,35,52,42,16
EIC28279.1,23,23,15,47,35,15,12,18,19,20,19,8
EIC28280.1,11,15,27,24,23,14,7,4,14,13,20,9
EIC28281.1,44,44,55,40,30,19,12,15,41,37,40,9
EIC28282.1,126,163,151,201,150,165,47,61,133,171,179,82
EIC28283.1,69,79,91,127,141,104,28,34,73,124,98,57
EIC28284.1,4,7,4,6,2,3,1,0,5,10,3,0
EIC28285.1,66,47,74,34,27,8,34,26,45,17,25,32
EIC28286.1,190,127,234,177,108,39,86,128,210,97,113,96
EIC28287.1,149,91,192,99,98,49,57,92,149,66,65,74
EIC28288.1,0,2,0,0,0,0,0,0,0,0,0,0
EIC28289.1,39,51,52,49,41,45,32,26,50,48,73,22
EIC28290.1,29,25,45,42,27,12,10,15,34,29,23,12
EIC28291.1,31,26,42,47,41,21,19,19,47,21,13,13
EIC28292.1,98,88,108,110,90,61,53,71,132,78,61,29
EIC28293.1,10,8,13,8,5,4,8,6,14,5,2,2
EIC28294.1,51,66,84,119,84,76,31,22,71,58,88,34
EIC28295.1,157,178,196,312,261,264,67,78,154,221,202,125
EIC28296.1,213,314,271,367,302,317,117,123,227,330,340,104
EIC28297.1,221,339,294,376,287,390,106,137,228,291,293,74
EIC28298.1,266,432,356,463,368,496,151,203,346,417,347,129
EIC28299.1,596,776,813,941,783,818,340,362,667,941,1077,213
EIC28300.1,8202,8442,11438,10671,8864,7528,3954,4380,8202,13142,14517,2474
EIC28301.1,3073,2855,4263,4241,3189,2359,1050,1293,2812,4654,5433,889
EIC28302.1,2170,2110,2818,2934,2296,1660,910,1067,1864,3448,3518,624
EIC28303.1,2121,2165,2885,2923,2229,1886,934,1152,2213,3328,3610,786
EIC28304.1,958,961,1228,1292,1007,716,428,479,1012,1469,1556,288
EIC28305.1,3704,3599,5053,4874,3977,2578,1278,1735,2866,6175,6679,908
EIC28306.1,2168,1894,2443,3043,2852,1145,983,1119,1797,3472,3291,447
EIC28307.1,42541,40507,62537,58454,45791,18785,18738,26042,33650,65484,67382,8295
EIC28308.1,2793,2499,4227,4334,3230,1124,1348,2066,2267,4531,4307,536
EIC28309.1,3838,5165,5090,4507,3445,3976,3770,4397,4288,5087,5738,1101
EIC28310.1,437,1082,537,779,558,1826,219,266,437,710,819,207
EIC28311.1,479,609,678,879,755,699,187,214,399,899,897,174
EIC28312.1,1405,1698,1896,2077,1833,2192,705,788,1615,2408,2606,656
EIC28313.1,1547,2376,2656,1926,1613,2482,1108,1483,1874,2674,2793,490
EIC28314.1,502,605,847,2026,1376,468,274,353,545,880,1072,268
EIC28315.1,576,810,706,895,698,951,252,361,530,763,931,189
EIC28316.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC28317.1,1243,1681,1632,2054,1585,1829,458,586,1015,1881,2068,402
EIC28318.1,437,506,570,668,606,480,208,258,348,619,709,131
EIC28319.1,34,59,53,68,69,57,22,26,25,77,60,18
EIC28320.1,169,227,215,416,372,195,163,179,253,266,281,89
EIC28321.1,21,33,31,64,65,40,3,11,21,43,50,14
EIC28322.1,184,282,170,538,378,463,115,152,317,458,469,128
EIC28323.1,170,241,228,982,645,1392,150,174,504,1080,1517,970
EIC28324.1,82,131,101,262,161,315,101,110,176,327,348,117
EIC28325.1,194,233,201,585,550,634,61,83,228,776,904,241
EIC28326.1,175,207,165,601,438,506,70,101,169,637,717,241
EIC28327.1,177,273,197,417,342,475,59,96,170,417,452,127
EIC28328.1,2320,3679,2773,3702,2757,4804,696,884,2067,2807,2627,776
EIC28329.1,1011,1546,1349,1272,911,1423,364,461,899,1057,1310,273
EIC28330.1,2744,4784,5878,1873,1541,1480,654,788,1621,2025,1595,307
EIC28331.1,262,486,582,222,208,334,95,107,173,266,197,64
EIC28332.1,853,1250,1057,1124,942,1243,334,376,636,1034,1111,206
EIC28333.1,436,551,486,564,508,472,226,326,537,624,690,121
EIC28334.1,788,889,1034,1103,975,818,200,243,578,1022,1237,198
EIC28335.1,275,313,359,2085,1526,293,179,211,379,379,517,172
EIC28336.1,859,1046,1027,1832,1505,924,451,586,864,1153,1427,309
EIC28337.1,670,738,717,1119,973,720,384,486,694,840,917,255
EIC28338.1,648,850,766,1140,865,848,337,365,691,827,983,217
EIC28339.1,2219,2651,2940,4290,3415,2585,856,1039,1667,2879,3067,558
EIC28340.1,215,319,258,386,300,277,189,205,206,242,267,51
EIC28341.1,671,894,849,1126,853,896,336,416,504,797,740,143
EIC28342.1,17,20,16,29,26,16,7,6,18,13,17,3
EIC28343.1,99,120,90,159,131,209,33,42,61,92,91,30
EIC28344.1,65,77,84,208,177,79,34,31,63,91,70,16
EIC28345.1,41,35,54,130,94,35,11,19,23,47,53,14
EIC28346.1,37,57,47,142,98,44,20,55,56,52,55,22
EIC28347.1,649,960,831,784,608,815,385,421,649,853,736,169
EIC28348.1,1270,1886,1561,2100,1636,1629,733,923,1176,1389,1390,276
EIC28349.1,11,16,15,23,12,10,9,7,7,16,15,3
EIC28350.1,10,15,19,19,16,16,10,25,12,21,10,0
EIC28351.1,148,130,133,210,157,125,96,93,152,139,146,34
EIC28352.1,44,80,59,96,87,60,33,42,70,67,69,9
EIC28353.1,77,113,91,140,84,106,64,102,175,126,104,38
EIC28354.1,11,19,17,32,22,27,8,6,18,19,9,9
EIC28355.1,66,88,65,108,82,115,43,57,73,89,62,22
EIC28356.1,262,271,288,358,297,309,132,155,263,313,264,72
EIC28357.1,2164,1998,2979,2992,2630,1247,1022,1396,2459,3662,4087,719
EIC28358.1,611,796,937,1041,882,810,471,538,916,1044,1010,280
EIC28359.1,408,500,568,636,532,537,235,284,498,668,743,177
EIC28360.1,99,134,139,125,127,142,58,50,118,117,134,18
EIC28361.1,2707,2622,5619,4292,4076,2821,1825,2620,5159,7727,10101,2201
EIC28362.1,199,190,442,405,364,164,138,173,260,494,631,116
EIC28363.1,427,518,664,1112,944,364,184,275,391,739,805,163
EIC28364.1,469,662,702,863,740,493,313,476,653,695,733,140
EIC28365.1,24,24,29,18,16,26,11,14,16,28,20,7
EIC28366.1,57,113,96,111,90,121,34,44,77,81,72,25
EIC28367.1,36,24,24,36,27,30,0,6,16,27,15,6
EIC28368.1,17,22,17,31,17,18,8,4,13,30,14,2
EIC28369.1,15,19,15,56,34,24,4,6,16,13,14,6
EIC28370.1,11,8,3,22,19,9,2,6,2,7,7,2
EIC28371.1,56,52,54,75,63,48,15,30,52,67,66,14
EIC28372.1,60,96,76,98,108,56,31,43,59,91,101,15
EIC28373.1,1445,2263,1905,1945,1388,2294,591,726,1020,1741,1497,358
EIC28374.1,3727,4023,5428,5095,3923,2282,1663,2379,3109,6488,7231,943
EIC28375.1,364,351,505,514,468,180,129,183,314,649,615,70
EIC28376.1,951,1030,1111,1283,1049,867,256,344,705,1304,1232,219
EIC28377.1,195,313,262,353,237,373,124,133,194,282,315,73
EIC28378.1,4162,6547,5370,5422,3877,7881,1775,2063,3677,5256,5507,1254
EIC28379.1,1387,1716,1818,1858,1502,1286,662,776,1117,1900,2038,415
EIC28380.1,425,526,598,583,494,447,200,250,396,609,657,162
EIC28381.1,1416,1669,1951,2017,1718,1441,683,786,1419,2080,2556,527
EIC28382.1,1247,1283,1552,1816,1369,835,438,564,931,1746,2073,400
EIC28383.1,1593,1959,1904,2126,1673,1712,835,1060,1673,2262,2568,601
EIC28384.1,1617,2058,2058,1816,1560,1583,1757,2073,2095,2534,2615,580
EIC28385.1,586,672,772,834,736,487,310,364,582,1092,994,185
EIC28386.1,577,748,790,956,798,659,276,299,588,877,836,177
EIC28387.1,52,70,66,70,80,72,24,33,48,58,58,12
EIC28388.1,24,17,28,27,25,17,8,3,14,19,23,3
EIC28389.1,43,60,91,103,96,58,18,24,67,84,54,14
EIC28390.1,43,39,48,63,70,38,17,11,35,51,40,17
EIC28391.1,28,28,26,51,23,15,5,5,8,19,12,7
EIC28392.1,19,14,15,24,16,14,4,7,6,11,4,5
EIC28393.1,24,31,39,59,45,34,5,11,29,28,26,7
EIC28394.1,151,230,164,167,167,187,44,47,141,207,192,50
EIC28395.1,193,276,194,281,240,294,61,119,215,255,239,59
EIC28396.1,62,93,76,101,64,96,35,30,43,88,82,11
EIC28397.1,54,79,81,82,76,130,26,26,38,94,80,21
EIC28398.1,268,393,283,392,315,422,76,102,216,351,263,117
EIC28399.1,31,45,51,38,32,43,8,22,18,60,31,7
EIC28400.1,80,116,96,125,98,125,28,39,79,125,89,12
EIC28401.1,98,155,129,184,134,221,49,32,83,136,93,29
EIC28402.1,187,342,226,185,184,206,125,176,218,173,148,43
EIC28403.1,182,228,205,288,264,210,89,88,207,202,183,58
EIC28404.1,116,143,110,173,147,126,62,78,89,111,117,27
EIC28405.1,144,169,148,374,279,184,54,68,123,165,147,31
EIC28406.1,68,103,92,188,145,91,24,39,86,100,108,30
EIC28407.1,53,61,55,181,131,64,20,41,71,67,87,39
EIC28408.1,11,19,13,30,18,15,13,9,13,27,8,4
EIC28409.1,102,98,142,159,115,79,49,94,138,164,178,46
EIC28410.1,71,64,72,203,175,65,37,61,70,92,113,31
EIC28411.1,707,1030,825,984,701,888,457,532,640,829,759,152
EIC28412.1,23,39,24,45,24,37,17,18,24,17,22,7
EIC28413.1,132,222,176,198,160,247,72,97,107,168,136,22
EIC28414.1,1616,2245,1864,2220,1675,2393,757,909,1170,1727,1220,327
EIC28415.1,636,1009,771,955,789,829,528,664,822,723,605,177
EIC28416.1,240,363,282,319,242,360,161,220,240,231,163,63
EIC28417.1,134,198,180,201,133,219,98,106,118,147,119,33
EIC28418.1,90,122,88,80,95,106,29,51,48,81,58,13
EIC28419.1,2385,3604,2766,3195,2560,3395,1214,1518,1655,2535,1684,460
EIC28420.1,1211,2084,1417,1493,1143,1660,868,1236,1418,1260,783,351
EIC28421.1,347,461,384,335,288,387,233,308,394,363,312,106
EIC28422.1,345,451,443,446,324,328,203,264,326,400,327,69
EIC28423.1,1533,1746,1717,1802,1436,1465,696,888,1231,1768,1735,299
EIC28424.1,283,392,400,435,317,391,223,248,306,383,344,68
EIC28425.1,339,462,435,484,348,378,366,421,479,325,416,109
EIC28426.1,54,79,68,41,37,49,35,48,74,47,46,16
EIC28427.1,6,11,6,6,6,7,9,9,11,7,3,2
EIC28428.1,45,51,54,50,26,32,50,74,77,47,33,12
EIC28429.1,1902,2249,2146,139,92,36,1044,1746,3040,174,128,40
EIC28430.1,320,240,447,63,38,4,185,301,665,40,30,13
EIC28431.1,284,198,401,36,22,12,160,231,612,32,20,4
EIC28432.1,277,169,378,48,43,14,173,250,579,31,27,18
EIC28433.1,187,109,262,25,23,3,83,132,327,23,19,12
EIC28434.1,823,585,1124,172,145,63,463,698,1651,156,93,30
EIC28435.1,416,313,595,235,203,96,271,395,840,110,74,35
EIC28436.1,489,554,620,557,470,398,479,562,834,384,381,112
EIC28437.1,291,392,395,622,467,304,253,302,449,348,407,128
EIC28438.1,105,184,154,170,152,187,75,74,124,127,113,32
EIC28439.1,119,168,154,174,128,129,110,127,165,164,144,40
EIC28440.1,102,127,127,165,152,112,54,57,96,107,115,12
EIC28441.1,36,40,29,58,42,45,19,17,36,28,35,6
EIC28442.1,10,22,13,22,15,9,5,8,4,17,10,4
EIC28443.1,20,15,14,37,27,26,17,13,13,15,21,5
EIC28444.1,8,27,17,31,42,24,7,10,15,23,14,2
EIC28445.1,6,9,3,12,12,10,6,6,1,6,6,3
EIC28446.1,113,137,98,175,123,125,66,82,119,123,107,34
EIC28447.1,49,60,49,90,57,55,29,19,38,47,46,11
EIC28448.1,18,27,20,40,34,15,17,11,23,27,15,6
EIC28449.1,464,612,573,689,608,504,382,504,642,606,621,182
EIC28450.1,1108,1399,1136,1320,1122,838,793,1240,1355,1110,1046,390
EIC28451.1,884,1253,1038,1041,929,809,898,1126,1432,981,875,430
EIC28452.1,2564,3526,2852,3075,2598,2441,2012,2762,3619,2690,2547,999
EIC28453.1,15,11,5,8,8,6,3,2,6,9,8,0
EIC28454.1,2,6,3,7,3,5,0,1,3,3,5,2
EIC28455.1,8,5,5,15,7,3,6,5,8,8,5,1
EIC28456.1,28,35,36,39,35,28,14,11,24,36,23,8
EIC28457.1,13,20,20,18,21,15,7,11,14,18,22,7
EIC28458.1,3,2,2,6,4,1,2,1,3,1,8,0
EIC28459.1,0,1,2,1,4,1,0,0,2,0,0,1
EIC28460.1,0,0,1,0,0,0,0,0,0,0,1,0
EIC28461.1,13,7,11,15,6,10,6,7,11,11,7,2
EIC28462.1,0,1,1,2,1,0,0,0,0,2,0,0
EIC28463.1,2,0,0,5,4,1,0,1,3,2,3,2
EIC28464.1,4,2,11,12,17,6,3,0,4,10,6,1
EIC28465.1,15,16,10,15,21,11,2,1,11,15,3,5
EIC28466.1,128,163,186,203,160,190,79,64,110,170,169,32
EIC28467.1,97,181,87,105,58,290,51,55,72,89,84,16
EIC28468.1,917,1172,1743,1176,958,926,1303,2015,2415,1942,1782,479
EIC28469.1,509,631,660,514,459,545,571,691,816,741,635,196
EIC28470.1,321,436,359,410,330,397,446,455,662,349,389,167
EIC28471.1,317,399,288,362,225,387,216,271,351,277,267,69
EIC28472.1,2536,4429,2794,2903,2165,3314,1733,2572,2757,2691,2427,600
EIC28473.1,287,535,381,369,240,383,192,284,336,315,259,56
EIC28474.1,2566,4273,2892,2616,2027,3348,1632,2516,2600,2697,1943,560
EIC28475.1,1437,2503,1618,1516,1130,1869,1004,1395,1723,1376,1002,494
EIC28476.1,1637,2793,1744,1606,1287,2462,1017,1376,1620,1556,987,497
EIC28477.1,870,1487,871,868,739,1198,481,625,793,812,510,222
EIC28478.1,560,971,667,753,594,891,287,397,468,564,364,133
EIC28479.1,41,40,38,51,30,45,26,34,37,40,47,9
EIC28480.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC28481.1,10,9,12,13,12,14,6,7,10,9,6,0
EIC28482.1,68,70,52,84,87,56,36,62,93,81,69,36
EIC28483.1,9,14,12,27,26,16,10,15,14,12,7,1
EIC28484.1,172,235,217,285,210,252,98,134,231,232,263,78
EIC28485.1,1,0,0,1,2,0,0,0,0,0,0,2
EIC28486.1,12,15,13,27,23,10,3,8,9,16,15,1
EIC28487.1,3,2,5,3,3,12,3,6,6,5,4,0
EIC28488.1,9,9,4,10,11,1,2,1,2,15,14,0
EIC28489.1,14,19,17,24,25,23,9,14,13,24,13,9
EIC28490.1,34,31,26,43,41,28,11,14,27,34,30,5
EIC28491.1,64,73,83,131,119,97,40,29,48,93,64,14
EIC28492.1,104,134,120,147,110,113,58,90,58,113,98,18
EIC28493.1,149,223,189,192,134,232,130,151,196,119,151,51
EIC28494.1,47,68,32,70,57,56,23,37,39,61,49,7
EIC28495.1,72,105,99,118,88,95,47,77,107,102,97,23
EIC28496.1,229,299,284,507,380,311,87,143,192,269,291,72
EIC28497.1,117,168,129,178,173,127,85,95,87,138,131,25
EIC28498.1,194,255,226,321,214,268,117,163,227,195,245,46
EIC28499.1,496,700,546,721,524,685,406,452,713,576,547,238
EIC28500.1,33,29,24,42,21,26,17,23,14,38,15,3
EIC28501.1,3778,4954,4302,4615,3565,3242,2718,3951,4676,4074,3793,1205
EIC28502.1,582,825,666,639,484,741,599,733,941,715,631,292
EIC28503.1,113,183,118,130,104,179,92,121,171,113,142,46
EIC28504.1,1,10,9,6,8,8,2,8,9,8,6,2
EIC28505.1,49,73,84,116,105,66,38,61,69,77,89,23
EIC28506.1,55,71,66,103,102,59,14,35,42,76,79,14
EIC28507.1,923,1039,1050,1398,1125,1095,333,414,765,1329,1278,214
EIC28508.1,542,710,621,717,538,562,354,434,538,601,625,121
EIC28509.1,370,459,370,426,336,485,264,343,545,371,302,128
EIC28510.1,384,516,411,479,408,405,161,236,344,520,425,77
EIC28511.1,381,582,411,552,425,495,271,371,543,429,407,152
EIC28512.1,41,71,55,83,44,76,52,40,68,60,53,23
EIC28513.1,11,13,10,22,22,7,5,7,7,6,10,1
EIC28514.1,10,15,13,31,17,20,3,3,9,9,14,2
EIC28515.1,1,6,6,5,6,6,2,2,3,6,10,1
EIC28516.1,21,29,23,30,29,36,12,9,15,22,26,6
EIC28517.1,7,9,6,12,15,12,1,4,11,13,10,4
EIC28518.1,7,9,9,4,6,7,8,2,2,11,10,3
EIC28519.1,9,5,16,13,22,10,6,7,8,14,9,0
EIC28520.1,7,10,9,20,13,11,4,4,4,4,4,4
EIC28521.1,11,5,7,12,12,6,3,4,3,4,8,5
EIC28522.1,11,12,6,19,11,8,7,4,6,3,11,1
EIC28523.1,11,11,28,30,14,22,6,7,10,16,15,1
EIC28524.1,10,24,24,45,28,24,11,11,23,15,25,12
EIC28525.1,10,12,13,24,16,10,4,6,9,23,15,3
EIC28526.1,20,19,26,34,39,23,11,6,15,29,29,7
EIC28527.1,27,32,32,53,41,33,5,11,22,39,24,5
EIC28528.1,54,63,86,189,132,98,38,56,100,78,81,29
EIC28529.1,294,485,487,459,330,500,265,306,296,375,416,75
EIC28530.1,669,1007,814,931,720,1052,396,491,630,873,903,178
EIC28531.1,256,600,306,332,281,384,146,193,218,311,274,56
EIC28532.1,178,408,175,182,139,239,76,69,91,151,142,21
EIC28533.1,13408,13823,19422,14677,12936,10620,8560,10456,11773,22577,22393,2884
EIC28534.1,7394,8934,9040,8002,6596,7025,5791,7215,6282,9855,9634,1366
EIC28535.1,5338,5134,8339,7921,5657,3587,3249,3548,4851,8354,9763,1738
EIC28536.1,7460,6888,9862,8883,7271,4185,2397,3381,5700,12358,13222,1690
EIC28537.1,4109,3272,5949,5295,4260,1697,1120,1586,2287,6848,7404,655
EIC28538.1,6017,4985,8649,8491,6550,2766,2080,2917,5061,10666,10363,1423
EIC28539.1,204,233,213,189,156,156,236,245,244,263,234,48
EIC28540.1,1520,2026,1867,2125,1549,1565,1041,1380,1373,2053,2212,348
EIC28541.1,251,223,316,393,347,145,239,319,334,446,526,77
EIC28542.1,372,378,522,588,532,220,326,481,475,567,651,112
EIC28543.1,639,608,824,1052,917,292,503,787,728,936,1007,192
EIC28544.1,586,630,783,969,818,472,359,398,509,891,944,145
EIC28545.1,61,74,76,152,159,46,29,36,44,151,89,13
EIC28546.1,229,174,323,833,816,168,80,92,193,1143,714,81
EIC28547.1,27,16,25,106,78,14,12,7,19,102,72,24
EIC28548.1,637,509,933,2332,2285,471,239,301,542,4208,2206,265
EIC28549.1,728,1156,783,927,668,1231,262,353,481,738,842,143
EIC28550.1,934,1511,921,1074,713,1283,290,490,555,789,794,160
EIC28551.1,254,469,280,302,241,424,164,180,230,282,217,63
EIC28552.1,490,864,464,422,366,717,325,408,515,420,294,121
EIC28553.1,55,84,55,59,44,99,22,40,39,59,37,8
EIC28554.1,229,321,244,346,267,302,125,139,175,258,179,52
EIC28555.1,438,692,577,899,679,667,217,291,452,566,645,122
EIC28556.1,796,883,879,3694,3060,875,290,394,670,1063,1336,269
EIC28557.1,1180,1114,1210,5072,4779,1193,646,659,1244,1314,1653,423
EIC28558.1,212,305,277,277,249,344,160,164,222,299,298,80
EIC28559.1,1152,1386,1408,1947,1390,1715,344,438,698,1655,1794,300
EIC28560.1,491,636,661,871,637,747,145,171,372,768,804,132
EIC28561.1,423,571,679,776,583,613,246,263,403,716,833,148
EIC28562.1,221,268,365,599,454,310,94,136,381,429,548,121
EIC28563.1,82,85,119,183,108,120,26,34,67,95,130,29
EIC28564.1,6,6,2,12,11,7,4,2,5,9,6,3
EIC28565.1,634,878,903,1237,958,830,177,238,617,994,1013,233
EIC28566.1,4457,4118,6601,7993,6550,2754,3400,4805,8147,9980,11037,2208
EIC28567.1,1110,835,1839,2226,1780,411,651,803,1777,2924,3202,509
EIC28568.1,265,226,440,501,461,164,216,257,534,725,731,158
EIC28569.1,752,876,826,914,722,552,343,454,565,876,879,202
EIC28570.1,1480,1969,1885,1814,1345,1197,1259,1713,2143,1795,1749,692
EIC28571.1,1154,1288,1566,1573,1294,1131,546,696,1186,1717,1693,386
EIC28572.1,309,481,333,395,304,522,59,98,123,262,257,59
EIC28573.1,1640,1909,2150,2212,1571,1470,467,612,851,1892,2128,303
EIC28574.1,1306,1574,1505,1330,1030,958,875,1353,1549,1388,1542,434
EIC28575.1,2020,2367,2390,2105,1613,1532,1650,2202,2447,2395,2452,729
EIC28576.1,252,268,303,301,205,209,216,230,319,357,322,116
EIC28577.1,1143,1307,1574,1617,1240,1270,507,641,1066,1714,1988,380
EIC28578.1,1006,1144,1467,1379,996,1068,515,663,1184,1567,1717,350
EIC28579.1,398,490,385,1096,1074,508,493,517,836,488,612,260
EIC28580.1,3494,5015,4412,9992,7884,6635,1352,1848,3632,5249,6605,1550
EIC28581.1,782,955,877,1025,809,799,1250,1131,1589,904,1065,496
EIC28582.1,968,1372,1368,1607,1258,1536,808,878,1122,1552,1659,384
EIC28583.1,1049,1426,1645,1683,1335,1520,633,786,1058,1909,2169,428
EIC28584.1,3469,4518,5417,5030,4093,5051,3322,4126,5979,6791,7832,2124
EIC28585.1,3201,4317,3773,4237,3287,4066,1466,1824,3070,4300,4187,982
EIC28586.1,25,35,37,38,47,51,10,13,19,33,45,5
EIC28587.1,463,619,633,778,547,825,217,288,435,689,592,183
EIC28588.1,32194,26015,49995,40327,30513,11404,8841,12411,19840,50711,55185,6043
EIC28589.1,3935,4956,4862,4764,3721,3674,2539,3245,3995,5102,5814,1347
EIC28590.1,1317,1798,1714,1841,1453,1513,1134,1524,1869,2027,2080,510
EIC28591.1,3107,3501,4309,4754,3587,2678,1070,1504,2487,4806,5362,889
EIC28592.1,3002,3343,3897,4364,3618,2720,1043,1376,2556,4763,5342,968
EIC28593.1,582,660,711,644,549,488,396,549,690,814,828,206
EIC28594.1,3964,4700,5440,5862,4867,4825,1767,2118,3665,6025,6342,1420
EIC28595.1,1006,1105,1229,1417,1256,770,508,622,881,1651,1590,279
EIC28596.1,182,194,216,309,189,118,75,93,142,287,229,54
EIC28597.1,1382,1487,1810,2005,1729,1134,736,816,1355,1982,1936,500
EIC28598.1,686,875,883,1071,887,634,399,455,705,978,1006,302
